country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
CZ,2014,71,71,70,26,26,1010.0,9825.929858362688,6324.37182810573,0.9859154929577465,0.36619718309859156
CZ,2015,68,68,67,26,26,870.0,9706.358220833947,6402.481686213563,0.9852941176470589,0.38235294117647056
CZ,2016,67,67,66,26,26,1160.0,9451.521221896553,6329.659359101442,0.9850746268656716,0.3880597014925373
CZ,2017,67,67,64,26,26,1285.0,10775.622505333055,7404.137091135006,0.9552238805970149,0.3880597014925373
CZ,2018,65,65,63,26,26,1331.0,12325.265115302314,8767.340200842898,0.9692307692307692,0.4
CZ,2019,62,62,60,26,26,1504.0,13159.657995330901,9535.497411069435,0.967741935483871,0.41935483870967744
CZ,2020,60,60,59,26,26,1499.0,11935.14184764893,8580.76019330611,0.9833333333333333,0.43333333333333335
CZ,2021,60,60,60,26,26,1464.5,11571.742382744113,8887.85636083683,1.0,0.43333333333333335
CZ,2022,56,56,56,26,26,1981.5,12158.211967122184,10002.685606281702,1.0,0.4642857142857143
CZ,2023,54,54,54,26,26,2189.0,11.992123348587674,10.058715693237135,1.0,0.48148148148148145
DE,2014,389,389,387,383,383,2925.0,6609.41260744581,7090.643939393939,0.9948586118251928,0.9845758354755784
DE,2015,390,390,387,382,382,2915.0,6912.141629502049,7480.181428614527,0.9923076923076923,0.9794871794871794
DE,2016,392,392,382,377,377,2840.0,7161.20158780989,7758.732248296745,0.9744897959183674,0.9617346938775511
DE,2017,403,403,401,383,383,2781.0,7726.137701083766,8377.451109285128,0.9950372208436724,0.9503722084367245
DE,2018,402,402,401,383,383,2791.0,7954.956156431073,8627.309050772627,0.9975124378109452,0.9527363184079602
DE,2019,402,402,398,381,381,2923.5,7938.661391463018,8760.868551776844,0.9900497512437811,0.9477611940298507
DE,2020,400,400,400,396,396,3079.0,7921.701852599437,8765.125448845698,1.0,0.99
DE,2021,400,400,397,394,394,3177.0,8382.0561771508,9286.3962181036,0.9925,0.985
