country_code,year,records,institutions_count,total_students,students_isced5_7_total,students_isced8,mean_observed_institution_size,median_institution_size,min_institution_size,max_institution_size,foreign_students,academic_personnel_fte,total_personnel_fte,total_current_revenues_eur,total_current_expenditure_eur,total_current_revenues_ppp,total_current_expenditure_ppp,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share,student_staff_ratio,revenue_per_student_eur,expenditure_per_student_eur,revenue_per_student_ppp,expenditure_per_student_ppp
CZ,2021,60,60,312471.0,290851.0,21620.0,5207.85,1464.5,19.0,50220.0,52274.0,24654.844,46084.996999999996,,2471537441.49766,,3217873174.4967804,60,1.0,5207.85,5207.85,5207.85,0.16729232472773473,12.673817769846769,,7909.653828667813,,10298.149826693614
CZ,2022,56,56,312887.0,292155.0,20732.0,5587.267857142857,1981.5,16.0,51005.0,55150.0,24909.545000000002,46396.90499999999,,2842998453.1466255,,3455649730.0934653,56,1.0,5587.267857142857,5587.267857142857,5587.267857142857,0.17626171748906155,12.560927949506905,,9086.342523488114,,11044.401749172914
CZ,2023,54,54,317397.0,297385.0,20012.0,5877.722222222223,2189.0,38.0,51971.0,55913.0,24819.108,46422.624,,2989653.1411431422,,3564300.884076686,54,1.0,5877.722222222223,5877.722222222223,5877.722222222223,0.17616108532846877,12.788412863185897,,9.4192860712078,,11.229787565971595
DE,2014,389,389,2695160.0,2583705.0,111455.0,6928.4318766066835,2795.0,0.0,70630.0,320345.0,210455.0,425680.0,26832000450.0,24288106425.0,25010952964.644253,22639709198.27369,389,1.0,6928.4318766066835,6928.4318766066835,6928.4318766066835,0.11885936270944954,12.80634815043596,9955.624322860238,9011.749367384497,9279.95108440473,8400.135501518904
DE,2015,390,390,2753720.0,2643380.0,110340.0,7060.820512820513,2860.0,0.0,69255.0,338995.0,212475.0,431095.0,27816853185.0,24986029756.0,25704460611.91299,23088607954.31444,390,1.0,7060.820512820513,7060.820512820513,7060.820512820513,0.12310438243539648,12.960207083186257,10101.5546914719,9073.554956930988,9334.44962157118,8384.515475180644
DE,2016,392,392,2754795.0,2646240.0,108555.0,7027.538265306122,2652.5,0.0,68425.0,350310.0,214095.0,436315.0,27137897901.0,25831758870.0,25047901038.359295,23842352940.63354,392,1.0,7027.538265306122,7027.538265306122,7027.538265306122,0.12716372724649203,12.867161773978841,9851.1496866373,9377.016754422742,9092.473682564145,8654.855602915477
DE,2017,403,403,2843019.0,2733404.0,109615.0,7054.637717121588,2752.0,0.0,67983.0,373362.0,220309.0,446043.0,29198639130.0,26555305061.0,26928561403.67056,24490736014.940517,403,1.0,7054.637717121588,7054.637717121588,7054.637717121588,0.13132588983752835,12.904688414908152,10270.293350132377,9340.530281718131,9471.819007776789,8614.34130934071
DE,2018,402,402,2866304.0,2756600.0,109704.0,7130.109452736318,2783.0,0.0,67960.0,393715.0,224861.0,455328.0,30514292944.0,27860042133.0,28136219658.466415,25688822827.61037,402,1.0,7130.109452736318,7130.109452736318,7130.109452736318,0.1373598194748359,12.747003704510787,10645.867620461751,9719.849022643795,9816.202209698069,8962.351107073908
DE,2019,402,402,2889097.0,2778054.0,111043.0,7186.808457711443,2838.5,0.0,67859.0,410540.0,228199.0,467987.0,32015766584.0,29029411216.0,29011088181.08503,26305002143.95099,402,1.0,7186.808457711443,7186.808457711443,7186.808457711443,0.14209976335166316,12.660427959807011,11081.582440464961,10047.918507409062,10041.576375277476,9104.921760657739
DE,2020,400,400,2942308.0,2833417.0,108891.0,7355.77,3079.0,12.0,68979.0,415505.0,241119.0,501215.0,33400640303.0,30042380294.0,30186665976.483772,27151554306.940086,400,1.0,7355.77,7355.77,7355.77,0.1412173708530854,12.202721477776533,11351.850419126753,10210.481123662104,10259.519389704876,9227.978276557073
DE,2021,400,400,2939511.0,2831208.0,108303.0,7348.7775,3068.0,0.0,88201.0,439363.0,247723.0,514592.0,34695683522.0,31456801243.0,31316902871.223675,28393433682.94686,400,1.0,7348.7775,7348.7775,7348.7775,0.14946805778239985,11.866120626667689,11803.21608662121,10701.37218163157,10653.779785557419,9659.237091797535
DE,2022,399,399,2918403.0,2808160.0,110243.0,7314.293233082707,3011.0,17.0,106334.0,457086.0,200840.0,330421.0,36925078812.0,33439346611.0,33111317286.89539,29985604665.614517,399,1.0,7314.293233082707,7314.293233082707,7314.293233082707,0.15662196070933315,14.530984863572993,12652.494810346618,11458.09766882778,11345.697385486304,10274.662089373714
